#@ Using S/N > 6 for detection threshold on zuul
#@ Using beams within 0.5 deg of pulsars in timing_GBNCC_071118.txt 
#@ Only searched for published pulsars
#@ Flux adjusted for offset from beam center
#@ Exclamation points next to Wcat and Wsmr indicate cases where W50 is not published, so the average ratio of W50/P0 is used
#@ S/Ne = expected S/N estimated from published flux values using width calculated from data
#@ S/Nc = expected S/N calculated using catalog W50
#@ S/Ns = S/N calulated using Weff (smeared out)
#@ S/Nm = measured S/N 
#@ Flux estimated from measured S/N, uncertainty estimated from dependencies
#@ File generated 2018-09-10 17:07:26 (ET)
#@  PSRJ  	 RA 	 Dec 	 P0 		 DM 	 Dist  	 MJD     BW	 Spindx  Temp 	Wdat  	Wcat 	Wsmr 	 S/Ne 	 S/Nc 	 S/Ns	S/Nm 	   Flux		 dFlux		Status 
#@		(deg)	 (deg) 	 (s) 		 (p/cc)	 (deg)	 (day)	(MHz)		 (K) 	(s)    	(s)    	(s)    					   (mJy)	 (mJy)  
J0557-29    	 89.36 	 -29.7 	 0.0436   	 49.0 	 0.485 	 56835 	 91.7 	 * 	 57.26 	 1.53896 	 1.53! 	 6.16! 	 *	 *	*	4.0840	   0.8614    	 0.2822    	Not Detected in 113383
J0557-29    	 89.36 	 -29.7 	 0.0436   	 49.0 	 0.044 	 56835 	 91.7 	 * 	 57.26 	 0.68743 	 0.98! 	 3.94! 	 *	 *	*	55.673	   1.3799    	 0.6472    	Detected in Beam 113760
J0610+37    	 92.66 	 37.30 	 0.444    	 39.0 	 0.492 	 55682 	 95.8 	 * 	 69.03 	 14.0899 	 2.39! 	 9.57! 	 6.5474	 10.772	5.2872	37.241	   9.2785    	 0.5757    	Detected in Beam  29564
J0610+37    	 92.66 	 37.30 	 0.444    	 39.0 	 0.000 	 55682 	 95.7 	 * 	 69.03 	 10.5232 	 2.39! 	 9.57! 	 45.980	 65.106	31.955	14.995	   0.5320    	 0.1789    	Detected in Beam  29941
J0610+37    	 92.66 	 37.30 	 0.444    	 39.0 	 0.493 	 55986 	 95.9 	 * 	 69.03 	 21.2139 	 2.39! 	 9.57! 	 5.2836	 10.755	5.2792	0.8346	   0.2576    	 0.2991    	Not Detected in  30318
J0614+83    	 93.51 	 83.22 	 1.039    	 44.0 	 0.493 	 55147 	 94.7 	 * 	 54.73 	 64.9295 	 2.39! 	 9.57! 	 8.3990	 19.706	9.6727	0.7348	   0.2086    	 0.2988    	Not Detected in  00475
J0614+83    	 93.51 	 83.22 	 1.039    	 44.0 	 0.000 	 55148 	 94.9 	 * 	 54.73 	 13.0243 	 2.39! 	 9.57! 	 116.72	 119.51	58.661	26.757	   0.5465    	 0.2343    	Detected in Beam  00530
J0614+83    	 93.51 	 83.22 	 1.039    	 44.0 	 0.492 	 55148 	 94.9 	 * 	 54.73 	 90.4254 	 2.39! 	 9.57! 	 7.0496	 19.780	9.7089	0.0	   0.0    	 0.0    	Not Detected in  00585
J0636-23    	 99.04 	 -23.3 	 0.476    	 60.0 	 0.499 	 56664 	 94.4 	 * 	 57.96 	 20.2676 	 2.39! 	 9.57! 	 *	 *	*	0.9654	   0.2494    	 0.3184    	Not Detected in 105699
J0636-23    	 99.04 	 -23.3 	 0.476    	 60.0 	 0.000 	 56666 	 94.5 	 * 	 57.96 	 16.0708 	 2.39! 	 9.57! 	 *	 *	*	18.150	   0.6528    	 0.2170    	Detected in Beam 106076
J0636-23    	 99.04 	 -23.3 	 0.476    	 60.0 	 0.499 	 56722 	 88.9 	 * 	 57.96 	 28.4992 	 2.39! 	 9.57! 	 *	 *	*	1.4802	   0.4696    	 0.3174    	Not Detected in 106453
J0636+51    	 99.24 	 51.49 	 0.00286  	 11.1 	 0.012 	 55442 	 76.4 	 * 	 68.19 	 0.20013 	 0.59! 	 2.56! 	 *	 *	*	10.494	   0.7255    	 0.2718    	Detected in Beam  16534
J0645+51    	 101.4 	 51.83 	 0.00885  	 18.2 	 0.000 	 55366 	 94.3 	 * 	 77.72 	 0.32728 	 0.59! 	 2.44! 	 *	 *	*	52.235	   2.6435    	 1.3037    	Detected in Beam  16246
J0645+80    	 101.3 	 80.14 	 0.658    	 50.0 	 0.011 	 55146 	 95.1 	 * 	 57.71 	 34.0383 	 2.39! 	 9.57! 	 154.55	 328.05	161.01	39.872	   1.7805    	 0.5739    	Detected in Beam  01119
J0645+80    	 101.3 	 80.14 	 0.658    	 50.0 	 0.498 	 55146 	 95.0 	 * 	 57.71 	 42.1220 	 2.39! 	 9.57! 	 21.984	 52.250	25.646	0.0	   0.0    	 0.0    	Not Detected in  01208
J0648-27    	 102.2 	 -27.2 	 4.1692   	 133.0 	 0.005 	 56777 	 91.1 	 * 	 57.26 	 50.0325 	 2.39! 	 9.57! 	 *	 *	*	33.334	   0.7114    	 0.3090    	Detected in Beam 110812
J0648-27    	 102.2 	 -27.2 	 4.1692   	 133.0 	 0.491 	 56777 	 91.1 	 * 	 57.26 	 672.748 	 2.39! 	 9.57! 	 *	 *	*	0.0	   0.0    	 0.0    	Not Detected in 111189
J0659-36    	 104.9 	 -36.3 	 0.637    	 84.0 	 0.499 	 56987 	 79.8 	 * 	 57.26 	 34.0702 	 2.39! 	 9.57! 	 *	 *	*	0.8231	   0.2569    	 0.3175    	Not Detected in 120716
J0659-36    	 104.9 	 -36.3 	 0.637    	 84.0 	 0.013 	 56987 	 81.1 	 * 	 57.26 	 12.8034 	 2.39! 	 9.57! 	 *	 *	*	8.9728	   0.2640    	 0.0964    	Detected in Beam 121093
J0659-36    	 104.9 	 -36.3 	 0.637    	 84.0 	 0.486 	 56990 	 86.1 	 * 	 57.26 	 62.4828 	 2.39! 	 9.57! 	 *	 *	*	1.7458	   0.6613    	 0.2829    	Not Detected in 121470
J0737+69    	 114.2 	 69.22 	 6.824    	 16.0 	 0.008 	 55173 	 94.7 	 * 	 57.11 	 83.5269 	 2.39! 	 9.57! 	 71.391	 72.222	35.449	40.203	   0.8479    	 0.3646    	Detected in Beam  04936
J0737+69    	 114.2 	 69.22 	 6.824    	 16.0 	 0.494 	 55173 	 94.6 	 * 	 57.11 	 511.922 	 2.39! 	 9.57! 	 4.5708	 11.829	5.8064	3.5166	   1.1584    	 0.3076    	Not Detected in  05080
J0740+41    	 115.1 	 41.06 	 0.003139 	 21.0 	 0.496 	 55629 	 95.5 	 * 	 59.05 	 0.51753 	 0.59! 	 2.86! 	 13.543	 54.683	24.393	0.0	   0.0    	 0.0    	Not Detected in  25697
J0740+41    	 115.1 	 41.06 	 0.003139 	 21.0 	 0.000 	 55630 	 95.3 	 * 	 59.05 	 0.34576 	 0.14! 	 0.71! 	 105.98	 680.74	309.11	0.0	   0.0    	 0.0    	Not Detected in  26074
