# Using S/N > 6 for detection threshold on zuul
# Using beams within 0.5 deg of pulsars from tmp
# Flux adjusted for offset from beam center
# Expected S/N estimated from published flux values
# Flux estimated from measured S/N, uncertainty estimated from dependencies
# File generated 2018-07-25 11:29:59 (ET)
#   PSRJ  	   RA 		     Dec 	 P0 			P1 	      DM 	 Distance  	  MJD   	 S/N exp. 	  S/N meas. 	     Est. Flux	   Flux Error	Status 
#		   (deg)   	    (deg) 	 (s) 			(s/s) 	      (p/cc) 	 (deg)		  (day)					             (mJy)  	   (mJy)  
  J0103+54	 15.90417 	 54.03333 	 0.3543 	        * 	   55.605 	 0.1458753 	  55353  	       *	   0.000	     0.000    	   0.000    	Not Detected in # 14414
  J0103+54	 15.90417 	 54.03333 	 0.3543 	        * 	   55.605 	 0.3592181 	  55353  	       *	   8.891	     1.522    	   0.244    	Detected in Beam # 14647
J0106+4855	 16.60442 	 48.93106 	 0.0832 	 4.2792E-16 	    70.87 	 0.3383329 	  55531  	  1.3194	   0.000	     0.000    	   0.000    	Not Detected in # 18451
J0106+4855	 16.60442 	 48.93106 	 0.0832 	 4.2792E-16 	    70.87 	 0.1779698 	  55531  	  2.4370	   0.000	     0.000    	   0.000    	Not Detected in # 18828
J0108-1431	 17.03478 	 -14.53061 	 0.8076 	 7.704E-17 	     2.38 	 0.4594474 	  57815  	  52.002	   4.565	     0.991    	   0.241    	Not Detected in # 94696
J0108-1431	 17.03478 	 -14.53061 	 0.8076 	 7.704E-17 	     2.38 	 0.0567575 	  57851  	  347.01	   0.000	     0.000    	   0.000    	Not Detected in # 95073
J0108+6608	 17.09436 	 66.14277 	 1.2837 	 1.3051E-14 	  30.5482 	 0.4975822 	  55179  	  25.867	   6.554	     3.055    	   0.384    	Detected in Beam # 06285
J0108+6608	 17.09436 	 66.14277 	 1.2837 	 1.3051E-14 	  30.5482 	 0.4768818 	  55188  	  24.167	  26.289	    13.114    	   0.946    	Detected in Beam # 06374
J0108+6608	 17.09436 	 66.14277 	 1.2837 	 1.3051E-14 	  30.5482 	 0.0539740 	  55180  	  109.23	  99.744	    11.008    	   3.641    	Detected in Beam # 06518
J0108+6905	 17.12293 	 69.09795 	 1.0711 	 4.809E-17 	  61.0617 	 0.1850426 	  55169  	  28.058	  54.901	     8.845    	   2.133    	Detected in Beam # 04921
J0108+6905	 17.12293 	 69.09795 	 1.0711 	 4.809E-17 	  61.0617 	 0.4910071 	  55169  	  7.5886	   7.563	     4.505    	   0.389    	Detected in Beam # 05065
J0108+6905	 17.12293 	 69.09795 	 1.0711 	 4.809E-17 	  61.0617 	 0.3651865 	  55169  	  13.468	  16.858	     5.658    	   0.662    	Detected in Beam # 05154
  J0112+66	     18.0 	 66.36667 	 4.3012 	        * 	      112 	 0.4935288 	  55176  	  55.737	   0.000	     0.000    	   0.000    	Not Detected in # 06141
  J0112+66	     18.0 	 66.36667 	 4.3012 	        * 	      112 	 0.0560358 	  55188  	  229.51	  10.366	     0.771    	   0.348    	Detected in Beam # 06374
  J0112+66	     18.0 	 66.36667 	 4.3012 	        * 	      112 	 0.4773766 	  55180  	  62.065	   0.000	     0.000    	   0.000    	Not Detected in # 06518
J0117+5914	 19.41109 	   59.244 	 0.1014 	 5.849955E-15 	 49.42068 	 0.4166050 	  55250  	  34.140	  21.737	     6.712    	   0.714    	Detected in Beam # 10411
J0117+5914	 19.41109 	   59.244 	 0.1014 	 5.849955E-15 	 49.42068 	 0.3018025 	  55253  	  47.795	  45.510	    10.037    	   1.642    	Detected in Beam # 10644
J0117+5914	 19.41109 	   59.244 	 0.1014 	 5.849955E-15 	 49.42068 	 0.3134694 	  55253  	  37.442	  30.827	     8.679    	   1.274    	Detected in Beam # 10788
J0117+5914	 19.41109 	   59.244 	 0.1014 	 5.849955E-15 	 49.42068 	 0.4918591 	  55257  	  20.603	  11.325	     5.794    	   0.468    	Detected in Beam # 11021
  J0125+62	     21.5 	 62.58333 	 1.7082 	        * 	      118 	 0.0356294 	  55200  	  53.391	   8.558	     0.684    	   0.312    	Detected in Beam # 08526
  J0125+62	     21.5 	 62.58333 	 1.7082 	        * 	      118 	 0.4633380 	  55200  	  15.702	   0.000	     0.000    	   0.000    	Not Detected in # 08759
J0134-2937	 23.57784 	 -29.6214 	 0.1370 	 7.83699E-17 	   21.806 	 0.4924079 	  56898  	  35.656	  16.348	     4.750    	   0.440    	Detected in Beam #113284
J0134-2937	 23.57784 	 -29.6214 	 0.1370 	 7.83699E-17 	   21.806 	 0.1770997 	  56898  	  116.11	  61.301	     5.470    	   1.536    	Detected in Beam #113517
J0134-2937	 23.57784 	 -29.6214 	 0.1370 	 7.83699E-17 	   21.806 	 0.3489958 	  56901  	  68.462	  34.567	     5.231    	   0.773    	Detected in Beam #113894
  J0136+63	     24.0 	     63.7 	 0.7179 	        * 	      286 	 0.4863835 	  55197  	  12.782	   0.000	     0.000    	   0.000    	Not Detected in # 07628
  J0136+63	     24.0 	     63.7 	 0.7179 	        * 	      286 	 0.0431416 	  55197  	  41.422	  11.251	     1.125    	   0.413    	Detected in Beam # 07861
J0137+1654	  24.3495 	 16.91169 	 0.4148 	 0.01223E-15 	  26.0838 	  0.1643710  	    *                *               *                 *             *        Beam # 53852 Not Found
J0137+1654	  24.3495 	 16.91169 	 0.4148 	 0.01223E-15 	  26.0838 	  0.3630751  	    *                *               *                 *             *        Beam # 54229 Not Found
J0139+5621	 24.91067 	 56.36022 	 1.7753 	 7.9096E-14 	  101.842 	 0.4481712 	  55279  	  5.6676	   2.672	     0.467    	   0.215    	Not Detected in # 12508
J0139+5621	 24.91067 	 56.36022 	 1.7753 	 7.9096E-14 	  101.842 	 0.3020102 	  55325  	  8.9292	   8.461	     0.939    	   0.231    	Detected in Beam # 12652
J0139+5621	 24.91067 	 56.36022 	 1.7753 	 7.9096E-14 	  101.842 	 0.2358335 	  55328  	  16.616	   3.782	     0.225    	   0.121    	Not Detected in # 12885
J0139+5814	 24.83225 	 58.24217 	 0.2725 	 1.071167E-14 	 73.81141 	 0.1534312 	  55254  	  271.50	 337.563	    42.932    	  11.639    	Detected in Beam # 11288
J0139+5814	 24.83225 	 58.24217 	 0.2725 	 1.071167E-14 	 73.81141 	 0.4906533 	  55257  	  71.287	  70.267	    34.037    	   2.179    	Detected in Beam # 11521
J0139+5814	 24.83225 	 58.24217 	 0.2725 	 1.071167E-14 	 73.81141 	 0.4325344 	  55257  	  106.73	 105.633	    34.175    	   3.229    	Detected in Beam # 11665
J0141+6009	 25.41641 	 60.15897 	 1.2229 	 3.91070E-16 	   34.926 	 0.2456914 	  55250  	  247.71	 230.234	    55.865    	  10.631    	Detected in Beam # 09924
J0141+6009	 25.41641 	 60.15897 	 1.2229 	 3.91070E-16 	   34.926 	 0.4763003 	  55250  	  85.268	  52.134	    36.750    	   2.130    	Detected in Beam # 10068
J0141+6009	 25.41641 	 60.15897 	 1.2229 	 3.91070E-16 	   34.926 	 0.4416828 	  55250  	  107.89	 130.097	    72.472    	   5.281    	Detected in Beam # 10157
J0141+6009	 25.41641 	 60.15897 	 1.2229 	 3.91070E-16 	   34.926 	 0.3631658 	  55250  	  157.70	 192.115	    73.221    	   8.329    	Detected in Beam # 10301
  J0141+63	    25.25 	 63.13333 	 0.0467 	        * 	    272.6 	 0.2779352 	  55197  	  16.429	   2.577	     0.256    	   0.122    	Not Detected in # 08094
  J0141+63	    25.25 	 63.13333 	 0.0467 	        * 	    272.6 	 0.2298151 	  55197  	  19.656	   0.000	     0.000    	   0.000    	Not Detected in # 08327
  J0146+31	  26.5625 	 31.06667 	 0.9381 	        * 	       25 	 0.4864545 	  56080  	       *	   0.000	     0.000    	   0.000    	Not Detected in # 36463
  J0146+31	  26.5625 	 31.06667 	 0.9381 	        * 	       25 	 0.0610929 	  56081  	       *	   0.000	     0.000    	   0.000    	Not Detected in # 36840
J0146+6145	 26.59342 	 61.75078 	 8.6890 	 1.99E-12 	        * 	 0.4332647 	  55200  	       *	   2.608	     0.585    	   0.207    	Not Detected in # 08793
J0146+6145	 26.59342 	 61.75078 	 8.6890 	 1.99E-12 	        * 	 0.4422635 	  55200  	       *	   4.246	     2.086    	   0.250    	Not Detected in # 08937
J0146+6145	 26.59342 	 61.75078 	 8.6890 	 1.99E-12 	        * 	 0.4540833 	  55200  	       *	   0.000	     0.000    	   0.000    	Not Detected in # 09026
J0146+6145	 26.59342 	 61.75078 	 8.6890 	 1.99E-12 	        * 	 0.2028983 	  55235  	       *	   2.905	     0.221    	   0.129    	Not Detected in # 09170
J0147+5922	 26.93602 	 59.36758 	 0.1963 	 2.56763E-16 	   40.111 	 0.3204926 	  55250  	  28.956	  26.584	     7.141    	   1.037    	Detected in Beam # 10390
J0147+5922	 26.93602 	 59.36758 	 0.1963 	 2.56763E-16 	   40.111 	 0.3650257 	  55253  	  29.007	  22.470	     6.025    	   0.768    	Detected in Beam # 10623
J0147+5922	 26.93602 	 59.36758 	 0.1963 	 2.56763E-16 	   40.111 	 0.3152060 	  55253  	  33.004	  28.649	     6.752    	   1.040    	Detected in Beam # 10767
J0151-0635	 27.84459 	 -6.58411 	 1.4647 	 4.4259E-16 	    25.66 	 0.0493013 	  57387  	  588.62	  42.763	     3.324    	   1.125    	Detected in Beam # 84661
J0151-0635	 27.84459 	 -6.58411 	 1.4647 	 4.4259E-16 	    25.66 	 0.4831517 	  57388  	  146.33	   8.174	     2.555    	   0.321    	Detected in Beam # 85271
J0152+0948	 28.09887 	  9.80278 	 2.7466 	 1.700E-15 	   22.881 	  0.3801116  	    *                *               *                 *             *        Beam # 62769 Not Found
J0152+0948	 28.09887 	  9.80278 	 2.7466 	 1.700E-15 	   22.881 	  0.3753748  	    *                *               *                 *             *        Beam # 63002 Not Found
J0152+0948	 28.09887 	  9.80278 	 2.7466 	 1.700E-15 	   22.881 	  0.2486350  	    *                *               *                 *             *        Beam # 63379 Not Found
J0152-1637	 28.04522 	 -16.63139 	 0.8327 	 1.299202E-15 	 11.92577 	 0.4440564 	  57880  	  124.03	  69.233	    14.253    	   1.384    	Detected in Beam # 97204
J0152-1637	 28.04522 	 -16.63139 	 0.8327 	 1.299202E-15 	 11.92577 	 0.1517164 	  57880  	  341.56	 156.396	    11.692    	   3.604    	Detected in Beam # 97814
J0152-1637	 28.04522 	 -16.63139 	 0.8327 	 1.299202E-15 	 11.92577 	 0.4361023 	  57990  	  168.04	  16.180	     2.459    	   0.346    	Detected in Beam # 98191
J0156+3949	 29.23019 	 39.82459 	 1.8116 	 1.516E-16 	   59.833 	 0.2655010 	  55657  	  41.788	   8.969	     1.035    	   0.222    	Detected in Beam # 27203
J0156+3949	 29.23019 	 39.82459 	 1.8116 	 1.516E-16 	   59.833 	 0.3135053 	  55657  	  33.999	   7.736	     1.097    	   0.199    	Detected in Beam # 27436
J0156+3949	 29.23019 	 39.82459 	 1.8116 	 1.516E-16 	   59.833 	 0.4771876 	  55658  	  26.793	   3.813	     0.686    	   0.276    	Not Detected in # 27813
J0157+6212	 29.45806 	  62.2072 	 2.3517 	 1.889254E-13 	    30.21 	 0.4591277 	  55200  	  28.645	   3.756	     1.000    	   0.272    	Not Detected in # 08505
J0157+6212	 29.45806 	  62.2072 	 2.3517 	 1.889254E-13 	    30.21 	 0.1598008 	  55200  	  79.076	  12.001	     1.158    	   0.441    	Detected in Beam # 08738
J0157+6212	 29.45806 	  62.2072 	 2.3517 	 1.889254E-13 	    30.21 	 0.4133479 	  55200  	  38.502	   4.315	     0.855    	   0.237    	Not Detected in # 08882
  J0158+21	 29.62083 	 21.13333 	 0.5053 	        * 	       20 	  0.2705430  	    *                *               *                 *             *        Beam # 48341 Not Found
  J0158+21	 29.62083 	 21.13333 	 0.5053 	        * 	       20 	  0.2455026  	    *                *               *                 *             *        Beam # 48718 Not Found
J0201+7005	 30.42227 	 70.08836 	 1.3492 	 5.5144E-15 	   21.029 	 0.3268576 	  55163  	       *	   5.970	     0.606    	   0.225    	Not Detected in # 04413
J0201+7005	 30.42227 	 70.08836 	 1.3492 	 5.5144E-15 	   21.029 	 0.2321013 	  55163  	       *	   4.491	     0.440    	   0.141    	Not Detected in # 04557
