# Using S/N > 6 for detection threshold on zuul
# Using beams within 0.5 deg of pulsars from psrcat_v158_north.txt
# Flux adjusted for offset from beam center
# Expected S/N estimated from published flux values
# Flux estimated from measured S/N, uncertainty estimated from dependencies
# File generated 2018-07-18 18:10:53 (ET)
#   PSRJ  	   RA 		     Dec 	 P0 			P1 	      DM 	 Distance  	  MJD   	 S/N exp. 	  S/N meas. 	     Est. Flux	   Flux Error	Status 
#		   (deg)   	    (deg) 	 (s) 			(s/s) 	      (p/cc) 	 (deg)		  (day)					             (mJy)  	   (mJy)  
  J0141+63	    25.25 	 63.13333 	 0.0467 	        * 	    272.6 	 0.2298151 	  55197  	  13.752	   0.000	     0.000    	   0.000    	Not Detected in # 08327
  J0146+31	  26.5625 	 31.06667 	 0.9381 	        * 	       25 	 0.4864545 	  56080  	       *	   0.000	     0.000    	   0.000    	Not Detected in # 36463
  J0146+31	  26.5625 	 31.06667 	 0.9381 	        * 	       25 	 0.0610929 	  56081  	       *	   0.000	     0.000    	   0.000    	Not Detected in # 36840
J0146+6145	 26.59342 	 61.75078 	 8.6890 	 1.99E-12 	        * 	 0.4332647 	  55200  	       *	   2.608	     0.841    	   0.237    	Not Detected in # 08793
J0146+6145	 26.59342 	 61.75078 	 8.6890 	 1.99E-12 	        * 	 0.4422635 	  55200  	       *	   4.246	     2.997    	   0.300    	Not Detected in # 08937
J0146+6145	 26.59342 	 61.75078 	 8.6890 	 1.99E-12 	        * 	 0.4540833 	  55200  	       *	   0.000	     0.000    	   0.000    	Not Detected in # 09026
J0146+6145	 26.59342 	 61.75078 	 8.6890 	 1.99E-12 	        * 	 0.2028983 	  55235  	       *	   2.905	     0.316    	   0.182    	Not Detected in # 09170
J0147+5922	 26.93602 	 59.36758 	 0.1963 	 2.56763E-16 	   40.111 	 0.3204926 	  55250  	  19.305	  26.584	    10.711    	   1.519    	Detected in Beam # 10390
J0147+5922	 26.93602 	 59.36758 	 0.1963 	 2.56763E-16 	   40.111 	 0.3650257 	  55253  	  19.282	  22.470	     9.064    	   1.129    	Detected in Beam # 10623
J0147+5922	 26.93602 	 59.36758 	 0.1963 	 2.56763E-16 	   40.111 	 0.3152060 	  55253  	  21.926	  28.649	    10.163    	   1.531    	Detected in Beam # 10767
J0151-0635	 27.84459 	 -6.58411 	 1.4647 	 4.4259E-16 	    25.66 	 0.0493013 	  57387  	 324.626	  42.763	     6.027    	   1.807    	Detected in Beam # 84661
J0151-0635	 27.84459 	 -6.58411 	 1.4647 	 4.4259E-16 	    25.66 	 0.4831517 	  57388  	  80.243	   8.174	     4.660    	   0.392    	Detected in Beam # 85271
J0152+0948	 28.09887 	  9.80278 	 2.7466 	 1.700E-15 	   22.881 	  0.3801116  	      *    	       *	       *	         *	       *        Beam # 62769 Not Found
J0152+0948	 28.09887 	  9.80278 	 2.7466 	 1.700E-15 	   22.881 	  0.3753748  	      *    	       *	       *	         *	       *        Beam # 63002 Not Found
J0152+0948	 28.09887 	  9.80278 	 2.7466 	 1.700E-15 	   22.881 	  0.2486350  	      *    	       *	       *	         *	       *        Beam # 63379 Not Found
J0152-1637	 28.04522 	 -16.63139 	 0.8327 	 1.299202E-15 	 11.92577 	 0.4440564 	  57880  	  69.823	  69.233	    25.320    	   2.228    	Detected in Beam # 97204
J0152-1637	 28.04522 	 -16.63139 	 0.8327 	 1.299202E-15 	 11.92577 	 0.1517164 	  57880  	 192.279	 156.396	    20.771    	   5.662    	Detected in Beam # 97814
J0152-1637	 28.04522 	 -16.63139 	 0.8327 	 1.299202E-15 	 11.92577 	 0.4361023 	  57990  	  91.020	  16.180	     4.540    	   0.545    	Detected in Beam # 98191
J0156+3949	 29.23019 	 39.82459 	 1.8116 	 1.516E-16 	   59.833 	 0.2655010 	  55657  	  24.294	   8.969	     1.780    	   0.359    	Detected in Beam # 27203
J0156+3949	 29.23019 	 39.82459 	 1.8116 	 1.516E-16 	   59.833 	 0.3135053 	  55657  	  19.774	   7.736	     1.887    	   0.314    	Detected in Beam # 27436
J0156+3949	 29.23019 	 39.82459 	 1.8116 	 1.516E-16 	   59.833 	 0.4771876 	  55658  	  15.649	   3.813	     1.175    	   0.308    	Not Detected in # 27813
J0157+6212	 29.45806 	  62.2072 	 2.3517 	 1.889254E-13 	    30.21 	 0.4591277 	  55200  	  19.939	   3.756	     1.437    	   0.319    	Not Detected in # 08505
J0157+6212	 29.45806 	  62.2072 	 2.3517 	 1.889254E-13 	    30.21 	 0.1598008 	  55200  	  55.043	  12.001	     1.663    	   0.629    	Detected in Beam # 08738
J0157+6212	 29.45806 	  62.2072 	 2.3517 	 1.889254E-13 	    30.21 	 0.4133479 	  55200  	  26.804	   4.315	     1.228    	   0.305    	Not Detected in # 08882
  J0158+21	 29.62083 	 21.13333 	 0.5053 	        * 	       20 	  0.2705430  	      *    	       *	       *	         *	       *        Beam # 48341 Not Found
  J0158+21	 29.62083 	 21.13333 	 0.5053 	        * 	       20 	  0.2455026  	      *    	       *	       *	         *	       *        Beam # 48718 Not Found
J0201+7005	 30.42227 	 70.08836 	 1.3492 	 5.5144E-15 	   21.029 	 0.3268576 	  55163  	       *	   5.970	     0.926    	   0.332    	Not Detected in # 04413
J0201+7005	 30.42227 	 70.08836 	 1.3492 	 5.5144E-15 	   21.029 	 0.2321013 	  55163  	       *	   4.491	     0.672    	   0.210    	Not Detected in # 04557
