num name RA Dec P0 dP0 P1 dP1 DM dDM W50 dW50 S400 dS400 S1400 dS1400 SPINDX dSPINDX temp
118 J0338+66 54.75 66.733333 1.762000 0.00015 * 0.0 67.00 2.0 * 0.0 10.50 0.0 * 0.0 * 0.0 64.9570058219556
119 J0340+4130 55.097033 41.512581 0.003299 1.7e-17 7.05e-21 1.2e-24 49.59 0.0016 * 0.0 2.00 0.0 0.31 0.0 * 0.0 51.548449574304215
120 J0341+5711 55.25 57.183333 1.888000 0.0 * 0.0 100.00 0.0 * 0.0 364.70 0.0 * 0.0 * 0.0 77.32267436145632
121 J0343-3000 55.866417 -30.007639 2.597027 9e-11 5.70e-17 9e-18 20.20 0.3 35.300 0.0 * 0.0 1.30 0.3 * 0.0 20.857754163013265
122 J0343+5312 55.803785 53.214841 1.934478 1.5e-11 1.34e-14 1.5e-19 67.30 0.06 44.900 0.0 3.70 0.6 0.30 0.0 -1.90 0.2 80.15336956929383
123 J0348+0432 57.181829 4.536516 0.039123 7e-16 2.41e-19 5e-23 40.46 0.00011 0.630 0.0 * 0.0 * 0.0 * 0.0 28.902887911604093
124 J0357+3205 59.46875 32.090278 0.444104 6e-10 1.30e-14 2e-17 * 0.0 * 0.0 * 0.0 * 0.0 * 0.0 38.288877284960066
125 J0357+5236 59.436731 52.616028 0.197030 3e-13 4.77e-16 3e-21 103.71 0.004 12.500 0.0 12.00 2.0 1.90 0.2 -1.50 0.1 86.26171185989057
126 J0358+42 59.5 42.1 0.226478 5e-06 * 0.0 46.00 1.0 * 0.0 5.50 0.0 * 0.0 * 0.0 58.69967957305162
127 J0358+5413 59.723849 54.220496 0.156384 8e-12 4.39e-15 5e-20 57.14 0.0003 3.900 0.0 46.00 7.0 23.00 7.0 -0.90 0.2 73.59807540377538
128 J0358+66 59.5 66.666667 0.091507 6.3e-07 * 0.0 62.30 0.4 * 0.0 5.30 0.0 * 0.0 * 0.0 63.91411811380493
129 J0359+5414 59.858375 54.248806 0.079427 1.3e-12 1.67e-14 7e-20 * 0.0 * 0.0 * 0.0 * 0.0 * 0.0 73.59807540377538
131 J0406+6138 61.625342 61.644733 0.594576 8e-13 5.57e-15 3e-20 65.41 0.0034 18.400 0.0 15.00 1.0 2.80 0.2 -1.20 0.1 67.48973311317863
132 J0407+1607 61.978912 16.121222 0.025702 2e-14 7.90e-20 3e-21 35.65 0.02 5.300 0.0 10.20 0.0 * 0.0 * 0.0 43.50331582571338
133 J0408+551 62.0 55.0 1.837000 0.0 * 0.0 55.00 0.0 * 0.0 * 0.0 * 0.0 * 0.0 72.108235820703
