name rad decd p0 dm Dist MJD BW Spindx Temp Wdat Wcat Wsmr S/Ne S/Nc S/Ns S/Nm Flux dFlux Beam
J1904+33 286.0 33.83 0.417 81.0 0.001 56053 94.3 * 66.85 14.4114 2.39! 9.57! * * * 17.463 0.7338 0.2350 33686
J1907+57 286.7 57.32 0.424 55.0 0.002 55330 95.0 * 94.26 12.6159 2.39! 9.57! * * * 30.988 1.6935 0.5223 12027
J1911+37 287.8 37.63 0.851 72.0 0.0 55988 95.9 * 66.85 13.011 2.39! 9.57! * * * 30.191 0.8284 0.3168 29594
J1917-29 289.3 -29.5 1.249 38.0 0.006 56902 91.3 * 55.08 37.9372 2.39! 9.57! * * * 43.455 1.4309 0.4887 113447
J1921-05 290.3 -5.32 2.228 80.3 0.0 58087 83.5 * 55.18 133.532 2.39! 9.57! * * * 22.623 1.1132 0.3646 83049
J1921+42 290.4 42.41 0.595 53.0 0.492 55633 94.9 * 70.22 8.58849 2.39! 9.57! 59.672 65.628 32.212 174.49 29.721 1.9319 24371
J1922+58 290.5 58.46 0.53 53.0 0.492 55330 95.4 * 70.22 13.5663 2.39! 9.57! 17.195 25.327 12.431 39.697 8.9807 0.5754 11451
J1928+28 292.0 28.82 1.063 79.0 0.005 56107 94.1 * 60.44 43.7445 2.39! 9.57! * * * 15.414 0.6422 0.2074 39354
J1929+38 292.3 38.18 0.814 93.0 0.0 55851 94.8 * 66.85 26.6632 2.39! 9.57! * * * 70.872 2.8886 0.9304 29018
J1929+62 292.4 62.26 1.456 67.0 0.011 56657 95.8 * 66.65 20.8036 2.39! 9.57! 66.344 72.590 35.629 23.631 0.6257 0.2456 8723
J1929+66 292.4 66.8 0.806 60.0 0.01 55178 94.7 * 108.9 12.3333 2.39! 9.57! * * * 23.404 1.0543 0.3834 6139
J1935+52 293.7 52.19 0.568 71.0 0.006 55363 95.9 * 81.55 18.1912 2.39! 9.57! 79.570 131.53 64.558 25.645 1.2537 0.3900 15954
J1940-24 295.0 -24.5 0.0982 53.4 0.018 56773 92.5 * 55.08 5.5259 2.39! 9.58! * * * 11.374 0.5146 0.1676 107559
J1941+02 295.3 2.452 1.232 87.0 0.0 57695 77.5 * 55.67 48.439 2.39! 9.57! * * * 22.794 0.9411 0.3159 72747
J1941+43 295.3 43.38 0.841 79.0 0.002 55633 94.8 * 88.99 15.4035 2.39! 9.57! 283.39 351.78 172.66 37.017 1.4915 0.5171 23795
J1942+81 295.5 81.1 0.203 40.2 0.005 55128 94.8 * 56.37 2.96556 2.39! 9.57! 264.70 292.90 143.75 22.966 0.5225 0.2094 916
J1948-27 297.0 -27.2 0.332 58.0 0.007 56783 91.1 * 55.08 7.54733 2.39! 9.57! * * * 17.291 0.4913 0.1755 110842
J1949+34 297.5 34.59 0.389 228.0 0.006 56052 94.4 * 66.85 19.4975 2.39! 23.1! * * * 21.792 1.1119 0.3459 32856
J1954+38 298.6 38.65 0.353 65.0 0.0 55852 94.5 * 66.85 4.51553 2.39! 9.57! * * * 25.920 0.6546 0.2697 28531
J1954+43 298.7 43.83 1.387 130.0 0.002 55633 94.4 * 115.0 95.4184 2.39! 9.57! 33.825 83.552 40.993 25.490 2.6477 0.7468 23363
J2000+29 300.1 29.17 3.074 133.0 0.005 56089 93.8 * 60.44 42.7035 2.39! 9.57! * * * 25.007 0.5979 0.2413 38956
J2001+42 300.3 42.72 0.719 55.0 0.005 55633 94.4 * 149.1 10.4689 2.39! 9.57! 420.81 464.86 228.16 30.380 1.8299 0.6701 24439
J2017-04 304.4 -4.19 0.0406 30.9 0.008 57384 84.7 * 56.02 1.12395 1.53! 6.14! * * * 15.691 0.5202 0.1975 81554
J2017-27 304.2 -27.5 0.224 26.0 0.017 56783 92.5 * 55.08 17.8592 2.39! 9.57! * * * 9.2788 0.5059 0.1631 111198
J2017+59 304.4 59.21 0.403 61.0 0.003 55263 95.5 * 73.20 43.6864 2.39! 9.57! 16.377 51.898 25.472 9.6801 0.8158 0.2431 10710
J2027+74 306.8 74.77 0.515 11.0 0.008 55149 94.9 * 63.97 45.9747 2.39! 9.57! 45.380 129.11 63.376 35.464 2.3535 0.7259 2670
J2040-21 310.1 -21.8 0.563 24.0 0.009 56655 94.3 * 55.08 22.4699 2.39! 9.57! * * * 72.465 2.7054 0.8985 104323
J2044+28 311.0 28.71 1.618 90.0 0.499 56110 94.2 * 60.44 44.3946 2.39! 9.57! * * * 16.614 3.5689 0.3702 39867
J2054-39 313.7 -39.9 0.977 25.0 0.0 57214 88.5 * 55.08 9.89175 2.39! 9.57! * * * 66.748 1.2751 0.6077 124796
J2105+28 316.4 28.48 0.406 62.0 0.498 56156 94.0 * 73.05 5.3028 2.39! 9.57! 61.253 64.037 31.429 17.750 3.1272 0.3725 40134
J2113+67 318.3 67.03 0.552 54.0 0.007 56655 99.1 * 74.69 32.1071 2.39! 9.57! 20.843 47.073 23.104 29.917 1.8011 0.5417 6021
J2122+54 320.6 54.54 0.139 32.0 0.003 55348 95.0 * 130.8 3.93919 2.39! 9.57! 57.650 89.474 43.911 13.939 1.0315 0.3115 14095
J2131-31 322.8 -31.6 3.325 32.0 0.014 56932 85.1 * 55.08 43.4373 2.39! 9.57! * * * 30.427 0.6755 0.2849 115892
J2137+64 324.3 64.31 1.751 106.0 7.649 55196 94.2 * 87.06 19.5976 2.39! 9.57! 260.81 252.17 123.76 23.853 0.7344 0.3152 7508
J2145+21 326.4 21.76 1.419 44.0 0.009 56459 94.6 * 60.59 33.7326 2.39! 9.57! * * * 15.343 0.4815 0.1662 47810
J2148-34 327.0 -34.3 0.927 14.0 0.008 56967 80.1 * 55.08 20.1289 2.39! 9.57! * * * 28.738 0.8509 0.3087 118887
J2150-03 327.5 -3.39 0.0035 21.0 0.006 57170 77.0 * 56.02 0.23662 0.59! 2.78! * * * 66.991 3.7173 1.4581 80504
J2152-28 328.2 -28.2 1.343 33.0 0.492 56837 92.6 * 55.08 12.9297 2.39! 9.57! * * * 32.869 3.6071 0.4170 111601
