# results from master table, 12/09/18
# spindxflag: 0 means catalog spindx available (or sne='*'), 1 means spindx calculated using s400 and s1400, 2 means spindx=-1.7
name rajd decjd p0 dm dms dmserr dist mjd bw spindx spindxflag temp w10 w50 on-pulse sne snm dsnm DOF_corr s350m ds s350e s400 s1400 numdet bm surv spindx_m dspindx_m p1 assoc bsurf prof_len nosearch
J0212+5222 33.21 52.37 0.376386 38.24 38.27 0.09723758586406361 0.18 55353 74.9 -1.2 0 103.82000000000001 20.031 13.203 10.0 32.78479454863105 14.606466366559763 2.1666805248747134 0.9581548593727356 1.3652117840306532 0.2848589600914297 4.81253823665 4.10 0.90 2 15681 catalog * * 6.60e-15 * 1.59e+12 200 0
J0214+5222 33.73 52.37 0.024575 22.04 22.05 0.009920059097448178 0.248 55353 74.9 * 2 105.01 3.108 1.141 18.0 3.477228991801494 11.578409543690457 0.7916578403029929 0.8619581601388288 2.4033862033851636 0.3821924393458142 1.12935068419 0.90 * 2 15914 catalog -2.670798 0.066021 2.99e-19 * 2.74e+09 128 0
J0215+6218 33.98 62.3 0.54888 84.0 84.65 0.14180061460592913 0.278 55200 74.6 -1.0 1 159.79999999999998 105.107 41.322 38.0 25.165735405611716 14.78472959771722 0.9209513093240073 0.9590652271923664 6.998783302811983 0.8279805464784017 16.77186451847989 14.50 3.70 2 8539 catalog * * 6.62e-16 * 6.10e+11 200 0
J0218+4232 34.52 42.53 0.002323 61.25 61.23 0.002400545312123403 0.255 55624 74.4 -2.7 0 100.39 1.462 1.025 29.0 54.46776671689406 48.81084899283632 2.1199811173595267 0.45939426503945846 28.5474400786164 4.490775528296177 50.5971224011 35.00 0.90 3 24509 catalog * * 7.74e-20 GRS:2FGL_J0218.1+4233[naa+12] 4.29e+08 50 0
J0231+7026 37.8 70.44 1.46682 46.68 46.52 0.3789461767895878 0.241 55163 75.6 -1.5 0 119.61 47.978 35.157 7.0 17.34874701935919 32.18279456756362 4.957901347270614 0.9598414308488029 3.613914841554615 0.7301016267104138 2.93223762555 2.40 0.30 3 4392 catalog -1.136040 0.521470 3.11e-15 * 2.16e+12 200 0
J0242+62 40.64 62.94 0.592 4.0 3.917 0.15294046758255 0.087 55197 75.4 * 0 133.60000000000002 39.181 18.219 13.0 * 78.47931605917528 1.6204135280359964 0.9591844229506269 9.656779265488575 1.135759400836213 * * * 2 8285 catalog * * * * * 200 0
J0243+6027 40.75 60.45 1.473 141.0 141.0 0.3805427512653651 0.075 55250 75.1 * 0 159.79999999999998 82.218 35.913 12.0 * 16.325803504385263 1.5580661437280656 0.9598426300364923 2.3631095250743623 0.33074412318206725 * * * 1 9882 catalog * * * * * 200 0
J0301+35 45.32 35.33 0.56832 57.4 57.43 0.146822848879248 0.147 55984 55.104882 * 0 67.26 11.911 5.939 4.0 * 12.244255455067636 1.4146283924125027 0.959122103020214 0.6338986852191636 0.1412271295396943 * * * 1 32185 aodrift * * * * * 200 0
J0323+3944 50.86 39.74 3.032072 26.19 26.31 0.7833218064593876 0.129 55654 75.2 -2.8 0 97.41 81.378 45.001 5.0 578.8316635783771 211.9031386009138 0.5602550120926652 0.9599572685903229 11.269741375004248 1.8345785337521971 49.4147233824 34.00 0.90 3 27284 catalog -1.567168 0.205774 6.36e-16 * 1.40e+12 200 0
J0324+5239 51.23 52.65 0.33662 115.4 115.3 0.08696422330682091 0.243 55352 75.1 -1.6 0 126.7 21.056 13.324 12.0 7.274666698090372 10.518706393423852 2.846416932136884 0.9577439569632111 1.7040544413483985 0.5053343536397007 1.7460214996 * 0.19 1 15584 catalog * * 3.81e-16 * 3.62e+11 200 0
J0325+67 51.47 67.81 1.365 65.0 64.98 0.35264144974692696 0.007 55171 75.4 * 0 90.65 26.787 14.273 4.0 * 25.33415645330742 1.1350959725807712 0.9598194357733717 1.3019906747706829 0.19915803891541742 * * * 1 5625 catalog * * * * * 200 0
J0332+5434 53.24 54.57 0.71452 26.76 26.76 0.18459294408291155 0.451 55348 64.4 -1.6 0 128.8 19.701 7.519 28.0 3476.0235687369814 610.555840263565 11.277625111859509 0.9594191324642238 507.19851397574473 63.90469738127334 1857.28424291 1500.00 203.00 2 13843 catalog -0.787517 0.233338 2.05e-15 * 1.22e+12 200 0
J0335+4555 53.81 45.93 0.269201 47.15 47.26 0.0695468358339359 0.177 55559 64.890234 -1.9 0 109.63000000000001 10.314 6.59 8.0 52.602794681725825 8.789139695663897 7.2281809736596 0.9566276494198609 0.8370157101441458 0.6990618071058684 7.73278525438 6.00 0.80 1 21451 catalog -1.368754 1.096452 7.35e-18 * 4.50e+10 200 0
J0338+66 54.64 66.73 1.762 67.0 66.61 0.4552045673656302 0.0 55179 74.5 * 2 113.65 52.106 30.172 6.0 135.61315169447133 23.50988806151313 0.7980229894583221 0.9598861227550771 1.49580400171651 0.21378758436795314 13.1757579822 10.50 * 1 6180 catalog * * * * * 200 0
J0341+5711 55.25 57.18 1.888 100.0 101.0 0.4877560858038081 0.15 55279 74.7 * 2 126.0 75.216 43.55 8.0 3102.610803379843 26.845384878426152 5.379169902345298 0.9598994753669492 2.6677326013995457 0.6291900141955923 457.637993914 364.70 * 2 12191 catalog * * * * * 200 0
J0343+06 55.98 6.59 1.00764 46.3 46.0 0.2603191431670282 0.266 58228 57.704882999999995 * 0 57.43 65.231 32.206 13.0 * 9.412273839426883 1.403854864491366 0.9596876596688658 1.0721902993271488 0.2703057325275251 * * * 1 67154 aodrift * * * * * 200 0
