#@ Using S/N > 6 for detection threshold on zuul
#@ Using beam #/users/amcewen/GBNCC_work/beams_rfi.txt to search for pulsars from tmp 
#@ Only searched for published pulsars
#@ Flux adjusted for offset from beam center
#@ Exclamation points next to Wcat and Wsmr indicate cases where W50 is not published, so the average ratio of W50/P0 is used
#@ S/Ne = expected S/N estimated from published flux values using width calculated from data
#@ S/Nc = expected S/N calculated using catalog W50
#@ S/Ns = S/N calulated using Weff (smeared out)
#@ S/Nm = measured S/N 
#@ Flux estimated from measured S/N, uncertainty estimated from dependencies
#@ File generated 2018-10-24 18:29:55 (ET)
#@ DM Searching - DMs is resulting DM from search
#@  PSRJ  	 RA 	 Dec 	 P0 		 DM 	 DMs 		 Dist  	 MJD     BW	 Spindx Temp 	 Wdat  		 Wcat 	 Wsmr 	 S/Ne 	 S/Nc 	S/Ns	S/Nm 	   Flux		dFlux		Status 
#@		(deg)	 (deg) 	 (s) 		 (p/cc)	 (p/cc)		 (deg)	 (day)	(MHz) 		 (K) 	 (ms)  		 (ms)  	  (ms)   				   (mJy)	(mJy)  
J1805-0619  	 271.3 	 -6.32 	 0.454651 	 146.2 	 147.1(0.12) 	 0.146 	 58254 	 89.3 	 * 	 184.4 	 16.6001 	 1.26 	 5.43 	 66.150	 161.42	77.059	4.5594	   0.6548    	 0.1616    	Not Detected in  84510
J1808-0813  	 272.0 	 -8.21 	 0.876044 	 151.2 	 151.6(0.23) 	 0.215 	 58258 	 76.8 	 -2.1 	 198.9 	 28.3460 	 1.16 	 4.81 	 196.42	 469.38	228.77	49.922	   9.4197    	 1.9736    	Detected in Beam  86717
J1812+0226  	 273.2 	 2.449 	 0.793903 	 104.1 	 103.9(0.21) 	 0.232 	 57692 	 79.3 	 -2.1 	 130.7 	 15.1378 	 0.83 	 3.33 	 51.006	 110.07	54.603	42.219	   4.1634    	 0.9371    	Detected in Beam  72666
J1821+41    	 275.5 	 41.75 	 1.261787 	 40.0 	 40.53(0.33) 	 0.059 	 55689 	 94.7 	 * 	 54.13 	 10.0847 	 2.39! 	 9.57! 	 197.23	 160.89	78.971	46.324	   0.7662    	 0.4102    	Detected in Beam  25400
J1825-31    	 276.4 	 -31.0 	 2.382    	 120.0 	 94.67(0.62) 	 0.214 	 56933 	 92.7 	 * 	 147.4 	 69.0240 	 2.39! 	 9.57! 	 *	 *	*	5.1657	   0.6192    	 0.1353    	Not Detected in 115408
J1838-1046  	 279.6 	 -10.7 	 1.218354 	 208.0 	 209.3(0.31) 	 0.272 	 58355 	 98.3 	 -3.4 	 331.6 	 20.2998 	 0.68 	 4.99 	 259.18	 577.09	210.77	20.860	   5.0801    	 0.9996    	Detected in Beam  89890
J1839-0627  	 279.8 	 -6.45 	 0.484914 	 88.5 	 92.49(0.13) 	 0.131 	 58255 	 80.2 	 * 	 486.4 	 18.4127 	 2.39 	 9.57 	 7.7414	 13.978	6.8598	20.308	   8.0308    	 2.0113    	Detected in Beam  84722
J1840-0840  	 280.2 	 -8.67 	 5.309377 	 272.0 	 285.2(1.37) 	 0.386 	 58347 	 98.3 	 -2.3 	 331.6 	 286.089 	 1.69 	 7.83 	 56.739	 146.45	67.081	12.092	   9.3964    	 0.8569    	Detected in Beam  87916
J1842+0257  	 280.6 	 2.966 	 3.088256 	 148.1 	 146.0(0.80) 	 0.335 	 57665 	 79.4 	 * 	 225.3 	 62.5227 	 0.84 	 3.38 	 10.166	 22.477	11.143	25.073	   6.7688    	 0.9559    	Detected in Beam  72412
J1842-0359  	 280.6 	 -3.99 	 1.839944 	 195.9 	 160.0(0.48) 	 0.445 	 58107 	 97.2 	 -1.5 	 486.4 	 84.3866 	 1.95 	 8.06 	 15.055	 33.255	16.098	1.7603	   2.6713    	 0.2569    	Not Detected in  81761
J1846-07492 	 281.5 	 -7.82 	 0.86138  	 192.0 	 190.8(0.22) 	 0.415 	 58204 	 76.2 	 * 	 343.1 	 20.8173 	 1.10 	 5.92 	 2.8045	 5.9270	2.5270	11.225	   8.0276    	 0.7072    	Detected in Beam  85798
J1849-0636  	 282.2 	 -6.61 	 1.451319 	 148.1 	 148.3(0.37) 	 0.225 	 58204 	 75.7 	 -2.3 	 343.1 	 29.1044 	 3.06 	 12.2 	 133.17	 152.67	74.475	101.30	   26.888    	 5.9823    	Detected in Beam  85044
J1857-1027  	 284.3 	 -10.4 	 3.687219 	 108.9 	 107.3(0.95) 	 0.140 	 58355 	 98.3 	 * 	 162.1 	 119.451 	 2.03 	 8.13 	 *	 *	*	68.258	   7.6357    	 1.9226    	Detected in Beam  89924
J1900+30    	 285.0 	 30.88 	 0.602227 	 71.84 	 71.91(0.16) 	 0.088 	 56085 	 91.6 	 -1.5 	 78.12 	 12.2601 	 2.39! 	 9.57! 	 *	 *	*	45.028	   1.8110    	 0.5851    	Detected in Beam  37024
J1900-09    	 285.0 	 -9.46 	 1.424    	 150.0 	 160.9(0.37) 	 0.474 	 58252 	 80.0 	 * 	 177.3 	 26.1303 	 2.39! 	 9.59! 	 *	 *	*	5.1891	   2.4015    	 0.2935    	Not Detected in  88183
J1901-0906  	 285.4 	 -9.10 	 1.781928 	 72.68 	 72.48(0.46) 	 0.121 	 58252 	 80.0 	 -2.4 	 177.3 	 14.5415 	 1.16 	 4.66 	 233.89	 276.89	137.21	84.203	   5.4561    	 2.5167    	Detected in Beam  88183
J1903-0848  	 285.7 	 -8.81 	 0.887325 	 66.99 	 66.60(0.23) 	 0.380 	 58227 	 80.1 	 * 	 158.8 	 16.2404 	 0.69 	 2.77 	 *	 *	*	13.071	   2.9797    	 0.3622    	Detected in Beam  87196
J1929+3817  	 292.2 	 38.29 	 0.814215 	 93.4 	 93.22(0.21) 	 0.122 	 55851 	 94.8 	 * 	 72.01 	 25.0799 	 1.82 	 7.29 	 *	 *	*	55.852	   2.6558    	 0.7597    	Detected in Beam  29018
J1931+30    	 292.8 	 30.58 	 0.582126 	 56.0 	 53.03(0.15) 	 0.317 	 56082 	 94.1 	 * 	 87.65 	 7.93750 	 2.39! 	 9.57! 	 *	 *	*	20.853	   1.5056    	 0.2858    	Detected in Beam  37613
J1937+2950  	 294.4 	 29.83 	 1.657429 	 113.9 	 113.6(0.43) 	 0.101 	 56082 	 94.0 	 -2.4 	 112.8 	 35.4296 	 2.39! 	 9.57! 	 37.223	 49.995	24.537	59.550	   3.5653    	 1.0732    	Detected in Beam  38079
J1941+0237  	 295.1 	 2.614 	 1.23234  	 82.7 	 87.21(0.32) 	 0.311 	 57693 	 78.7 	 * 	 87.45 	 49.7479 	 2.39! 	 9.57! 	 *	 *	*	27.181	   3.6362    	 0.5441    	Detected in Beam  72137
J1943-1237  	 295.8 	 -12.6 	 0.972429 	 28.92 	 29.02(0.25) 	 0.346 	 58349 	 98.3 	 -2.4 	 87.95 	 12.2770 	 0.48 	 1.95 	 225.55	 515.46	256.76	150.57	   11.865    	 1.9632    	Detected in Beam  92288
